song,artist
A Bar Song (Tipsy),Shaboozey
I Had Some Help,Post Malone Featuring Morgan Wallen
Not Like Us,Kendrick Lamar
Espresso,Sabrina Carpenter
Million Dollar Baby,Tommy Richman
"Good Luck, Babe!",Chappell Roan
Birds Of A Feather,Billie Eilish
Please Please Please,Sabrina Carpenter
Lose Control,Teddy Swims
Too Sweet,Hozier
Beautiful Things,Benson Boone
Guess,Charli xcx Featuring Billie Eilish
Cowgirls,Morgan Wallen Featuring ERNEST
Ain't No Love In Oklahoma,Luke Combs
Lies Lies Lies,Morgan Wallen
Pink Skies,Zach Bryan
Hot To Go!,Chappell Roan
Miles On It,Marshmello & Kane Brown
Like That,"Future, Metro Boomin & Kendrick Lamar"
Houdini,Eminem
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Austin,Dasha
Saturn,SZA
Who,Jimin
28,Zach Bryan
Kehlani,Jordan Adetunji
High Road,Koe Wetzel & Jessie Murph
Pour Me A Drink,Post Malone Featuring Blake Shelton
Pink Pony Club,Chappell Roan
Wanna Be,GloRilla & Megan Thee Stallion
Big Dawgs,Hanumankind X Kalmi
Si Antes Te Hubiera Conocido,Karol G
Stick Season,Noah Kahan
Guy For That,Post Malone Featuring Luke Combs
I Can Do It With A Broken Heart,Taylor Swift
Slow It Down,Benson Boone
We Can't Be Friends (Wait For Your Love),Ariana Grande
Fortnight,Taylor Swift Featuring Post Malone
Lunch,Billie Eilish
I Am Not Okay,Jelly Roll
360,Charli xcx
Bulletproof,Nate Smith
Feather,Sabrina Carpenter
Stargazing,Myles Smith
Bye Bye Bye,*NSYNC
Mamushi,Megan Thee Stallion Featuring Yuki Chiba
Red Wine Supernova,Chappell Roan
Field Trip,"짜$: Kanye West & Ty Dolla $ign Featuring Playboi Carti, Kodak Black & Don Toliver"
You Look Like You Love Me,Ella Langley Featuring Riley Green
TGIF,GloRilla
Dirt Cheap,Cody Johnson
Apple,Charli xcx
Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen
Gata Only,FloyyMenor X Cris Mj
Wildflower,Billie Eilish
The Door,Teddy Swims
One Of Wun,Gunna
BAND4BAND,Central Cee & Lil Baby
Lonely Road,mgk & Jelly Roll
Nights Like This,The Kid LAROI
Hang Tight Honey,Lainey Wilson
Casual,Chappell Roan
Devil Is A Lie,Tommy Richman
Chevrolet,Dustin Lynch Featuring Jelly Roll
Did It First,Ice Spice & Central Cee
Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti"
Illusion,Dua Lipa
The Boy Is Mine,Ariana Grande
Nasty,Tinashe
Femininomenon,Chappell Roan
Help Me,Real Boston Richey
Chihiro,Billie Eilish
Wind Up Missin' You,Tucker Wetmore
I Like The Way You Kiss Me,Artemas
Think I'm In Love With You,Chris Stapleton
Promotion,짜$: Kanye West & Ty Dolla $ign Featuring Future
Si No Quieres No,Luis R Conriquez x Neton Vega
Hate Me,Lil Yachty & ian
Dirty,Jessie Murph With Teddy Swims
American Nights,Zach Bryan
Beautiful As You,Thomas Rhett
Belong Together,Mark Ambor
"I Love You, I'm Sorry",Gracie Abrams
U My Everything,Sexyy Red & Drake
La Patrulla,Peso Pluma & Neton Vega
Am I Okay?,Megan Moroney
Fried,짜$: Kanye West & Ty Dolla $ign
Slide,짜$: Kanye West & Ty Dolla $ign
Highjack,A$AP Rocky Featuring Jessica Pratt
Nel,Fuerza Regida
My Kink Is Karma,Chappell Roan
Euphoria,Kendrick Lamar
Tough,Quavo & Lana Del Rey
Liar,Jelly Roll
Sweet Dreams,Koe Wetzel
Alibi,"Sevdaliza, Pabllo Vittar & Yseult"
Parking Lot,Mustard & Travis Scott
Wine Into Whiskey,Tucker Wetmore
"Love You, Miss You, Mean It",Luke Bryan
We Ride,Bryan Martin
